"page_id","page_name","page_type","jurisdiction","politics_type","gov_level","electorate","party","page_link"
"101934832754638",Joeline Hackman,Politics,NSW,Candidate,State,Manly,Independent,https://www.facebook.com/101934832754638
"101938725606868",Dan Cregan - Member for Kavel,Politics,QLD,Candidate,State,Kavel,ALP,https://www.facebook.com/101938725606868
"101947385984916",Malik Zaveer - Labor for Berwick,Politics,VIC,Candidate,State,Berwick,ALP,https://www.facebook.com/101947385984916
"101952779108946",Peter Rothwell - Liberal Democrats for regional NSW,Politics,NSW,Candidate,Federal,Parkes,Liberal Democrat,https://www.facebook.com/101952779108946
"101989682098580",Wilson Tucker MLC,Politics,"","",State,"","",https://www.facebook.com/101989682098580
"101993559295613",Michael O'Reilly - Liberal for Frankston,Politics,VIC,Candidate,State,Frankston,Liberal,https://www.facebook.com/101993559295613
"102039062666244",Deepak Joshi - Greens for Warrandyte,Politics,VIC,Candidate,State,Warrandyte,Green,https://www.facebook.com/102039062666244
"102046078466165",North Sydney Labor,Politics,NSW,Party,Federal,North Sydney,ALP,https://www.facebook.com/102046078466165
"102047474939736",Robert Skelton MP for Nicklin,Politics,QLD,Candidate,State,Nicklin,ALP,https://www.facebook.com/102047474939736
"102055959066399",Asher Judah - Liberal for Ashwood,Politics,VIC,Candidate,State,Ashwood,Liberal,https://www.facebook.com/102055959066399
"102060059057419",Caz 4 Cowper,Politics,NSW,Candidate,Federal,Cowper,Independent,https://www.facebook.com/102060059057419
"1020802664670984",Llew O'Brien MP,Politics,QLD,Candidate,Federal,Wide Bay,LNP,https://www.facebook.com/1020802664670984
"102094569332545",Sharon Gibson - Independent for Morwell,Politics,VIC,Candidate,State,Morwell,Independent,https://www.facebook.com/102094569332545
"102106201437725",Jess Whittaker - Greens for Wollongong,Politics,NSW,Candidate,State,Wollongong,Green,https://www.facebook.com/102106201437725
"102109782192228",John Fulbrook MP,Politics,SA,Candidate,State,Playford,ALP,https://www.facebook.com/102109782192228
"102123539486514",Roshena Campbell,Politics,VIC,Candidate,Federal,Aston,Liberal,https://www.facebook.com/102123539486514
"102177625789613",Chey Hamilton for Senator,Politics,QLD,Candidate,Federal,QLD,Independent,https://www.facebook.com/102177625789613
"102179835739367",James Haggerty - Fusion,Politics,"",Candidate,Federal,"",Fusion,https://www.facebook.com/102179835739367
"102180071873068",Dr Katrina Stratton MLA,Politics,WA,Candidate,State,"",ALP,https://www.facebook.com/102180071873068
"102217531746187",Senator Ben Small,Politics,WA,Candidate,Federal,WA,Liberal,https://www.facebook.com/102217531746187
"102225245953963",Stephen Matulec - Liberal Democrats Candidate for Narre Warren North,Politics,VIC,Candidate,State,Narre Warren North,Liberal Democrats,https://www.facebook.com/102225245953963
"102240142452859",Taylor Vandijk,Politics,NSW,Candidate,State,Oatley,Green,https://www.facebook.com/102240142452859
"102244348801110","Georgia Steele, Independent for Hughes",Politics,NSW,Candidate,Federal,Hughes,Independent,https://www.facebook.com/102244348801110
"102284092684313",Luke Brady Greens Candidate for Benambra,Politics,VIC,Candidate,State,Benambra,Green,https://www.facebook.com/102284092684313
"102284368818526",North Sydney's Independent,Politics,NSW,"","","",Independent,https://www.facebook.com/102284368818526
"102311152687373",Michael Pilbrow - Labor for Goulburn,Politics,NSW,Candidate,State,Goulburn,ALP,https://www.facebook.com/102311152687373
"102315792388769",Ross Taylor - Pauline Hanson's One Nation,Politics,"","","","",One Nation,https://www.facebook.com/102315792388769
"102320219260372",Annabelle Cleeland for Euroa,Politics,VIC,Candidate,State,Euroa,Nationals,https://www.facebook.com/102320219260372
"102330235360100",Klara Andric MLC,Politics,WA,Candidate,State,South Metropolitan,ALP,https://www.facebook.com/102330235360100
"102340744952212",The Change Compass,Politics,"","","","","",https://www.facebook.com/102340744952212
"102346082463633",The Chifley Project,Politics,AU,Misc,"","","",https://www.facebook.com/102346082463633
"102367175619863",Jeremiah Riley - WA Labor for Durack,Politics,WA,Candidate,Federal,Durack,ALP,https://www.facebook.com/102367175619863
"102378242409929",Martin Stevenson for Wyong - Pauline Hanson's One Nation,Politics,NSW,Candidate,State,Wyong,One Nation,https://www.facebook.com/102378242409929
"102389064951203",Rachel Iampolski - Greens Candidate for Caulfield,Politics,VIC,Candidate,State,Caulfield,Green,https://www.facebook.com/102389064951203
"102395992344148",Tonya Scott - Pauline Hanson’s One Nation Candidate For Hammond SA,Politics,SA,Candidate,State,Hammond,One Nation,https://www.facebook.com/102395992344148
"102421175262961",Dianah Walter - Independent. 100% For Narungga,Politics,SA,Candidate,State,Narungga,Independent,https://www.facebook.com/102421175262961
"102432805837895",Ethan Hrnjak for Wakehurst,Politics,NSW,Candidate,State,Wakehurst,Green,https://www.facebook.com/102432805837895
"102453932266472",Aaron Violi MP,Politics,VIC,Candidate,Federal,Casey,Liberal,https://www.facebook.com/102453932266472
"102470472303124",Cynthia Watson - Liberal for Ringwood,Politics,VIC,Candidate,State,Ringwood,Liberal,https://www.facebook.com/102470472303124
"102478381347283",Jodie Hanns MLA,Politics,WA,Candidate,State,"",ALP,https://www.facebook.com/102478381347283
"102504699083728",Avery Howard - Greens,Politics,NSW,Candidate,Federal,Fowler,Green,https://www.facebook.com/102504699083728
"102532921873740",People First Party,Politics,"",Party,"","",People First,https://www.facebook.com/102532921873740
"102541155309292",Donisha Duff - living in the Redlands,Politics,QLD,Candidate,Federal,Bowman,ALP,https://www.facebook.com/102541155309292
"102558595778752",Maddy Fry Independent Candidate for Barker,Politics,SA,Candidate,Federal,Barker,Independent,https://www.facebook.com/102558595778752
"102560335973713",Kylie Wilkinson - Labor for East Hills,Politics,NSW,Candidate,State,East Hills,ALP,https://www.facebook.com/102560335973713
"102562075663730",Nicolette Boele,Politics,NSW,Candidate,Federal,Bradfield,Independent,https://www.facebook.com/102562075663730
"102596569082358",TNL,Politics,"",Party,"","",TNL,https://www.facebook.com/102596569082358
"102619662175521",Louise Miller-Frost MP,Politics,SA,Candidate,Federal,Boothby,ALP,https://www.facebook.com/102619662175521
"102666592438533",Reggie Martin MLC,Politics,SA,Candidate,State,SA,ALP,https://www.facebook.com/102666592438533
"102714168175542",Timber Towns Victoria,Politics,VIC,Misc,State,"","",https://www.facebook.com/102714168175542
"102716346463749",Dr Joe McGirr Campaign,Politics,NSW,Candidate,State,Wagga Wagga,Independent,https://www.facebook.com/102716346463749
"102723794863658",Belco Party,Politics,ACT,Party,"","",Belco Party,https://www.facebook.com/102723794863658
"102735262506370",Amanda Findley for South Coast,Politics,NSW,Candidate,State,South Coast,Green,https://www.facebook.com/102735262506370
"102754989415434",Drummoyne Labor,Politics,NSW,Party,State,Drummoyne,ALP,https://www.facebook.com/102754989415434
"102783418545411",Voices of Bradfield,Politics,NSW,Party,Federal,Bradfield,Independent,https://www.facebook.com/102783418545411
"102808425917783",Joe Aguilus - Greens for Broadmeadows,Politics,VIC,Candidate,State,Broadmeadows,Green,https://www.facebook.com/102808425917783
"102812112596897",Georgia Fowler - Labor for Mornington,Politics,VIC,Candidate,State,Mornington,ALP,https://www.facebook.com/102812112596897
"102821055681443",Shawn Lock - Liberal for Spence,Politics,SA,Candidate,Federal,Spence,Liberal,https://www.facebook.com/102821055681443
"102830999402523",Masoomeh Asgari - Greens for Auburn,Politics,NSW,Candidate,State,Auburn,Green,https://www.facebook.com/102830999402523
"102838525682219",Andrew Chuter 4 Sydney,Politics,NSW,Candidate,Federal,Sydney,Socialist Alliance,https://www.facebook.com/102838525682219
"102853866083314",Craig Chung - Liberal Candidate for Kogarah,Politics,NSW,Candidate,State,Kogarah,Liberal,https://www.facebook.com/102853866083314
"102858052171888",Suzie Holt 4 Groom,Politics,"","","","","",https://www.facebook.com/102858052171888
"102863732654833",Heather Dunn - Labor for Orange,Politics,NSW,Candidate,State,Orange,ALP,https://www.facebook.com/102863732654833
"102877136460011",Rebecca Thistleton for Melbourne,Politics,VIC,Candidate,State,Melbourne,ALP,https://www.facebook.com/102877136460011
"102906105174317",Voices of Goldstein,Politics,VIC,Community,Federal,Goldstein,Independent,https://www.facebook.com/102906105174317
"102909265655116",Jack Ayoub,Politics,"","","","","",https://www.facebook.com/102909265655116
"102916692372810",Linda Champion One Nation,Politics,QLD,Candidate,Federal,Groom,Independent,https://www.facebook.com/102916692372810
"102921935507842",Snowy Monaro Labor Team,Politics,NSW,Party,State,Monaro,ALP,https://www.facebook.com/102921935507842
"102937092376663",Carl Pallier - Australian Federation Party,Politics,"",Candidate,"","",Australian Federation Party,https://www.facebook.com/102937092376663
